period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",150
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Accountants,140
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Handels- en verkoopberoepen,Verkooppersoneel,128
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Leidinggevenden,91
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Tekenaars en vormgevers,84
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Voer- en werktuigherstellers,82
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Bewerkers van voeding,77
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,65
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,59
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Bedrijfsadviseurs,49
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,HR-experts,47
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Dienstverlenende beroepen,Experts vastgoed,14
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,11
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Dienstverlenende beroepen,Juridische dienstverleners,10
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Horecaberoepen,Horecapersoneel,10
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",10
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Dienstverlenende beroepen,Persoonlijke dienstverleners,6
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Beoefenaars van ambachten,6
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Confectie- en lederwerkers,6
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,6
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,5
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Industriële beroepen en ambachten,Precisietechniekers,4
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,"Medische, paramedische en verzorgende beroepen",Paramedici,4
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Organisatieondersteunende en kennisberoepen,Controleurs en inspecteurs,2
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Dienstverlenende beroepen,Medewerkers in finance,1
