period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Meubelmaker,68,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Meubelstoffeerder,0,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Operator CNC-gestuurde houtbewerkingsmachines,3,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Productieoperator hout,4,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Medewerkers houtindustrie,Werkplaatsschrijnwerker,166,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,Bordenbouwer - Elektromonteur machinebouw,71,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,Elektrotechnicus,1146,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Bankwerker,7,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Insteller-omsteller plaatbewerking,15,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Insteller-omsteller verspaning,91,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Machinebouwer,19,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Manueel lasser,188,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Monteur staalconstructies,195,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Operator montage en assemblage,44,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Pijpfitter,29,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Productieoperator metaal,25,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Rigger-monteerder,15,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,Procesoperator chemische industrie,7,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,Productiemedewerker kunststofverwerking,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Afdelingsverantwoordelijke productie,9,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Productiemanager,19,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Projectmanager engineering,57,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Teamleader productie,9,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke beheer en onderhoud van voertuigen,8,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke industrieel onderhoud,29,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke kwaliteitscontrole,8,vacatures_201712_all.xlsx
